BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
1072512	4918	6069	7708	12605	16389	21719	26287	30912	35881	43094
1072641	1330	1534	1785	2400	2806	3321	3694	4057	4456	4945
1072699	176	231	315	590	825	1169	1475	1799	2151	2684
1072710	607	733	897	1350	1683	2132	2477	2870	3231	3792
1072730	118	144	183	302	403	554	685	839	996	1245
1072760	4617	5264	6057	8157	9637	11570	13008	14684	16104	18391
1072800	1343	1548	1802	2421	2831	3350	3726	4092	4493	4986
1072820	593	738	945	1553	2017	2653	3190	3726	4295	5115
1072920	66	85	110	188	250	335	404	477	553	660
1072930	130	161	205	335	435	573	691	810	935	1116
1072950	3754	4350	5051	6677	7671	8898	9779	10679	11520	12594
1073210	110	141	188	336	463	651	815	998	1204	1517
1073500	53	66	85	142	191	263	324	394	468	581
1073590	163	195	237	351	436	548	635	732	822	962
1073650	187	224	272	403	499	626	723	832	932	1087
1073720	152	181	220	326	406	513	595	689	776	909
1073800	26349	29449	33031	42431	48739	56775	62523	69399	74759	83685
1073840	243	299	380	619	807	1068	1294	1524	1767	2123
1073890	340	409	500	751	936	1185	1379	1598	1802	2121
1073940	110	134	169	276	365	496	607	729	861	1057
1074290	90	112	143	234	305	400	481	562	647	770
1074300	152	183	220	311	369	441	492	541	593	654
1074360	425	523	653	1010	1266	1597	1845	2122	2369	2754
1074370	70	88	112	184	239	313	373	437	502	592
1074410	144	179	230	380	500	666	811	957	1113	1342
1074500	123	156	205	352	478	663	827	1002	1197	1467
1074520	891	1070	1302	1938	2404	3027	3503	4047	4543	5320
1074540	1935	2291	2741	3943	4780	5846	6633	7527	8297	9527
1074580	51	65	86	152	209	295	371	458	554	705
1074660	106	134	174	293	388	518	630	743	863	1039
1074670	41	53	68	114	151	200	240	282	326	388
1074720	27	32	38	54	64	77	85	93	102	111
1074740	24	29	35	49	58	69	76	82	89	97
1074780	6	7	9	13	17	22	26	31	35	42
1074960	66	88	122	235	332	476	604	740	888	1113
1074990	29	37	48	83	113	156	194	236	282	351
1077150	1572	1963	2530	4260	5641	7605	9314	11067	12954	15733
1077160	236	292	368	588	769	1024	1242	1465	1705	2024
